trajectory_id,collection_order_index,timestamp,status,failure_class,at_or_after_quota_onset
v13_sealed_coding_bug_fix_01_model_b_treatment,1,2026-08-13T21:11:26.183670,COMPLETE,NONE,False
v13_sealed_coding_bug_fix_01_model_b_control,2,2026-08-13T21:11:26.649342,COMPLETE,NONE,False
v13_sealed_coding_bug_fix_02_model_b_control,3,2026-08-13T21:11:53.299120,COMPLETE,NONE,False
v13_sealed_coding_bug_fix_02_model_b_treatment,4,2026-08-13T21:11:56.941763,COMPLETE,NONE,False
v13_sealed_coding_bug_fix_03_model_b_control,5,2026-08-13T21:12:14.483380,COMPLETE,NONE,False
v13_sealed_coding_bug_fix_03_model_b_treatment,6,2026-08-13T21:12:28.494043,COMPLETE,NONE,False
v13_sealed_coding_bug_fix_04_model_b_control,7,2026-08-13T21:12:30.169225,COMPLETE,NONE,False
v13_sealed_coding_bug_fix_04_model_b_treatment,8,2026-08-13T21:12:55.442664,COMPLETE,NONE,False
v13_sealed_coding_bug_fix_05_model_b_control,9,2026-08-13T21:12:58.468762,COMPLETE,NONE,False
v13_sealed_coding_bug_fix_05_model_b_treatment,10,2026-08-13T21:13:18.283511,COMPLETE,NONE,False
v13_sealed_coding_dependency_resolution_01_model_b_control,11,2026-08-13T21:13:25.950869,COMPLETE,NONE,False
v13_sealed_coding_dependency_resolution_01_model_b_treatment,12,2026-08-13T21:13:46.128564,COMPLETE,NONE,False
v13_sealed_coding_dependency_resolution_02_model_b_control,13,2026-08-13T21:13:49.384460,COMPLETE,NONE,False
v13_sealed_coding_dependency_resolution_02_model_b_treatment,14,2026-08-13T21:14:14.346373,COMPLETE,NONE,False
v13_sealed_coding_dependency_resolution_03_model_b_control,15,2026-08-13T21:14:15.715504,COMPLETE,NONE,False
v13_sealed_coding_dependency_resolution_03_model_b_treatment,16,2026-08-13T21:14:32.370696,COMPLETE,NONE,False
v13_sealed_coding_dependency_resolution_04_model_b_control,17,2026-08-13T21:14:48.695533,COMPLETE,NONE,False
v13_sealed_coding_dependency_resolution_04_model_b_treatment,18,2026-08-13T21:15:05.992943,COMPLETE,NONE,False
v13_sealed_coding_dependency_resolution_05_model_b_control,19,2026-08-13T21:15:07.992249,COMPLETE,NONE,False
v13_sealed_coding_dependency_resolution_05_model_b_treatment,20,2026-08-13T21:15:25.441190,COMPLETE,NONE,False
v13_sealed_coding_configuration_repair_01_model_b_control,21,2026-08-13T21:15:37.953470,COMPLETE,NONE,False
v13_sealed_coding_configuration_repair_01_model_b_treatment,22,2026-08-13T21:15:50.710710,COMPLETE,NONE,False
v13_sealed_coding_configuration_repair_02_model_b_control,23,2026-08-13T21:15:58.962023,COMPLETE,NONE,False
v13_sealed_coding_configuration_repair_02_model_b_treatment,24,2026-08-13T21:16:22.213706,COMPLETE,NONE,False
v13_sealed_coding_configuration_repair_03_model_b_control,25,2026-08-13T21:16:24.713444,COMPLETE,NONE,False
v13_sealed_coding_configuration_repair_03_model_b_treatment,26,2026-08-13T21:16:44.863435,COMPLETE,NONE,False
v13_sealed_coding_configuration_repair_04_model_b_control,27,2026-08-13T21:16:55.106762,COMPLETE,NONE,False
v13_sealed_coding_configuration_repair_04_model_b_treatment,28,2026-08-13T21:17:11.731289,COMPLETE,NONE,False
v13_sealed_coding_configuration_repair_05_model_b_control,29,2026-08-13T21:17:26.291913,COMPLETE,NONE,False
v13_sealed_coding_configuration_repair_05_model_b_treatment,30,2026-08-13T21:17:47.941405,COMPLETE,NONE,False
v13_sealed_coding_test_failure_debugging_01_model_b_control,31,2026-08-13T21:17:56.569425,COMPLETE,NONE,False
v13_sealed_coding_test_failure_debugging_01_model_b_treatment,32,2026-08-13T21:18:15.613127,COMPLETE,NONE,False
v13_sealed_coding_test_failure_debugging_02_model_b_control,33,2026-08-13T21:18:25.053892,COMPLETE,NONE,False
v13_sealed_coding_test_failure_debugging_02_model_b_treatment,34,2026-08-13T21:18:47.692684,COMPLETE,NONE,False
v13_sealed_coding_test_failure_debugging_03_model_b_control,35,2026-08-13T21:18:52.670862,COMPLETE,NONE,False
v13_sealed_coding_test_failure_debugging_03_model_b_treatment,36,2026-08-13T21:19:14.066811,COMPLETE,NONE,False
v13_sealed_coding_test_failure_debugging_04_model_b_control,37,2026-08-13T21:19:19.543009,COMPLETE,NONE,False
v13_sealed_coding_test_failure_debugging_04_model_b_treatment,38,2026-08-13T21:19:42.990947,COMPLETE,NONE,False
