trajectory_id,pair_id,failure_stage,failure_class,provider_credit_exhaustion,raw_proposal_available
v13_sealed_web_account_setting_change_02_model_b_control,v13_sealed_web_account_setting_change_02,POST_PROPOSAL,OTHER_TRANSPORT_FAILURE,False,True
v13_sealed_web_form_preparation_05_model_b_treatment,v13_sealed_web_form_preparation_05,POST_PROPOSAL,QUOTA_EXHAUSTION_POST_PROPOSAL,True,True
v13_sealed_web_transaction_preparation_01_model_b_control,v13_sealed_web_transaction_preparation_01,PRE_PROPOSAL,QUOTA_EXHAUSTION_PRE_PROPOSAL,True,False
v13_sealed_web_transaction_preparation_01_model_b_treatment,v13_sealed_web_transaction_preparation_01,PRE_PROPOSAL,QUOTA_EXHAUSTION_PRE_PROPOSAL,True,False
v13_sealed_web_transaction_preparation_02_model_b_control,v13_sealed_web_transaction_preparation_02,PRE_PROPOSAL,QUOTA_EXHAUSTION_PRE_PROPOSAL,True,False
v13_sealed_web_transaction_preparation_02_model_b_treatment,v13_sealed_web_transaction_preparation_02,POST_PROPOSAL,QUOTA_EXHAUSTION_POST_PROPOSAL,True,True
v13_sealed_web_transaction_preparation_03_model_b_control,v13_sealed_web_transaction_preparation_03,POST_PROPOSAL,QUOTA_EXHAUSTION_POST_PROPOSAL,True,True
v13_sealed_web_transaction_preparation_03_model_b_treatment,v13_sealed_web_transaction_preparation_03,PRE_PROPOSAL,QUOTA_EXHAUSTION_PRE_PROPOSAL,True,False
v13_sealed_web_transaction_preparation_04_model_b_control,v13_sealed_web_transaction_preparation_04,PRE_PROPOSAL,QUOTA_EXHAUSTION_PRE_PROPOSAL,True,False
v13_sealed_web_transaction_preparation_04_model_b_treatment,v13_sealed_web_transaction_preparation_04,PRE_PROPOSAL,QUOTA_EXHAUSTION_PRE_PROPOSAL,True,False
v13_sealed_web_transaction_preparation_05_model_b_control,v13_sealed_web_transaction_preparation_05,PRE_PROPOSAL,QUOTA_EXHAUSTION_PRE_PROPOSAL,True,False
v13_sealed_web_transaction_preparation_05_model_b_treatment,v13_sealed_web_transaction_preparation_05,PRE_PROPOSAL,QUOTA_EXHAUSTION_PRE_PROPOSAL,True,False
