trajectory_id,pair_id,condition,executed,status
v13_sealed_web_account_setting_change_02_model_b_control,v13_sealed_web_account_setting_change_02,control,False,NOT_EXECUTED_API_CREDIT_UNAVAILABLE
v13_sealed_web_form_preparation_05_model_b_treatment,v13_sealed_web_form_preparation_05,treatment,False,NOT_EXECUTED_API_CREDIT_UNAVAILABLE
v13_sealed_web_transaction_preparation_01_model_b_control,v13_sealed_web_transaction_preparation_01,control,False,NOT_EXECUTED_API_CREDIT_UNAVAILABLE
v13_sealed_web_transaction_preparation_01_model_b_treatment,v13_sealed_web_transaction_preparation_01,treatment,False,NOT_EXECUTED_API_CREDIT_UNAVAILABLE
v13_sealed_web_transaction_preparation_02_model_b_control,v13_sealed_web_transaction_preparation_02,control,False,NOT_EXECUTED_API_CREDIT_UNAVAILABLE
v13_sealed_web_transaction_preparation_02_model_b_treatment,v13_sealed_web_transaction_preparation_02,treatment,False,NOT_EXECUTED_API_CREDIT_UNAVAILABLE
v13_sealed_web_transaction_preparation_03_model_b_control,v13_sealed_web_transaction_preparation_03,control,False,NOT_EXECUTED_API_CREDIT_UNAVAILABLE
v13_sealed_web_transaction_preparation_03_model_b_treatment,v13_sealed_web_transaction_preparation_03,treatment,False,NOT_EXECUTED_API_CREDIT_UNAVAILABLE
v13_sealed_web_transaction_preparation_04_model_b_control,v13_sealed_web_transaction_preparation_04,control,False,NOT_EXECUTED_API_CREDIT_UNAVAILABLE
v13_sealed_web_transaction_preparation_04_model_b_treatment,v13_sealed_web_transaction_preparation_04,treatment,False,NOT_EXECUTED_API_CREDIT_UNAVAILABLE
v13_sealed_web_transaction_preparation_05_model_b_control,v13_sealed_web_transaction_preparation_05,control,False,NOT_EXECUTED_API_CREDIT_UNAVAILABLE
v13_sealed_web_transaction_preparation_05_model_b_treatment,v13_sealed_web_transaction_preparation_05,treatment,False,NOT_EXECUTED_API_CREDIT_UNAVAILABLE
