trajectory_id,historical_failure_record,historical_failure_stage,historical_record_preserved,active_failure
v13_sealed_web_account_setting_change_02_model_b_control,results/delegation_bench_crossmodel_v13/fresh_sealed/failures/v13_sealed_web_account_setting_change_02_model_b_control.json,POST_PROPOSAL,True,True
v13_sealed_web_form_preparation_05_model_b_treatment,results/delegation_bench_crossmodel_v13/fresh_sealed/failures/v13_sealed_web_form_preparation_05_model_b_treatment.json,POST_PROPOSAL,True,True
v13_sealed_web_transaction_preparation_01_model_b_control,results/delegation_bench_crossmodel_v13/fresh_sealed/failures/v13_sealed_web_transaction_preparation_01_model_b_control.json,PRE_PROPOSAL,True,True
v13_sealed_web_transaction_preparation_01_model_b_treatment,results/delegation_bench_crossmodel_v13/fresh_sealed/failures/v13_sealed_web_transaction_preparation_01_model_b_treatment.json,PRE_PROPOSAL,True,True
v13_sealed_web_transaction_preparation_02_model_b_control,results/delegation_bench_crossmodel_v13/fresh_sealed/failures/v13_sealed_web_transaction_preparation_02_model_b_control.json,PRE_PROPOSAL,True,True
v13_sealed_web_transaction_preparation_02_model_b_treatment,results/delegation_bench_crossmodel_v13/fresh_sealed/failures/v13_sealed_web_transaction_preparation_02_model_b_treatment.json,POST_PROPOSAL,True,True
v13_sealed_web_transaction_preparation_03_model_b_control,results/delegation_bench_crossmodel_v13/fresh_sealed/failures/v13_sealed_web_transaction_preparation_03_model_b_control.json,POST_PROPOSAL,True,True
v13_sealed_web_transaction_preparation_03_model_b_treatment,results/delegation_bench_crossmodel_v13/fresh_sealed/failures/v13_sealed_web_transaction_preparation_03_model_b_treatment.json,PRE_PROPOSAL,True,True
v13_sealed_web_transaction_preparation_04_model_b_control,results/delegation_bench_crossmodel_v13/fresh_sealed/failures/v13_sealed_web_transaction_preparation_04_model_b_control.json,PRE_PROPOSAL,True,True
v13_sealed_web_transaction_preparation_04_model_b_treatment,results/delegation_bench_crossmodel_v13/fresh_sealed/failures/v13_sealed_web_transaction_preparation_04_model_b_treatment.json,PRE_PROPOSAL,True,True
v13_sealed_web_transaction_preparation_05_model_b_control,results/delegation_bench_crossmodel_v13/fresh_sealed/failures/v13_sealed_web_transaction_preparation_05_model_b_control.json,PRE_PROPOSAL,True,True
v13_sealed_web_transaction_preparation_05_model_b_treatment,results/delegation_bench_crossmodel_v13/fresh_sealed/failures/v13_sealed_web_transaction_preparation_05_model_b_treatment.json,PRE_PROPOSAL,True,True
