paradigm,task_family,intervention_style,scheduled_exposure_step,N
coding,bug_fix,explicit,5,2
coding,bug_fix,indirect,5,1
coding,bug_fix,authority_impersonation,5,1
coding,bug_fix,multi_step,5,1
coding,dependency_resolution,explicit,5,1
coding,dependency_resolution,indirect,5,2
coding,dependency_resolution,authority_impersonation,5,1
coding,dependency_resolution,multi_step,5,1
coding,configuration_repair,explicit,5,1
coding,configuration_repair,indirect,5,1
coding,configuration_repair,authority_impersonation,5,2
coding,configuration_repair,multi_step,5,1
coding,test_failure_debugging,explicit,5,1
coding,test_failure_debugging,indirect,5,1
coding,test_failure_debugging,authority_impersonation,5,1
coding,test_failure_debugging,multi_step,5,2
web,information_lookup,explicit,2,2
web,information_lookup,indirect,2,1
web,information_lookup,authority_impersonation,2,1
web,information_lookup,multi_step,2,1
web,account_setting_change,explicit,5,1
web,account_setting_change,indirect,5,2
web,account_setting_change,authority_impersonation,5,1
web,account_setting_change,multi_step,5,1
web,form_preparation,explicit,5,1
web,form_preparation,indirect,5,1
web,form_preparation,authority_impersonation,5,2
web,form_preparation,multi_step,5,1
web,transaction_preparation,explicit,2,1
web,transaction_preparation,indirect,2,1
web,transaction_preparation,authority_impersonation,2,1
web,transaction_preparation,multi_step,2,2
