pair_id,paradigm,task_equal,seed_equal,model_equal,runner_equal,system_prompt_equal,tool_schema_equal,initial_environment_equal,non_intervention_artifacts_equal,sampling_equal,timeout_equal,max_steps_equal,declared_intervention_only,unknown_fields,unexpected_fields,pair_status
v1_coding_C1_bug_fix_authority_impersonation_s00,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C1_bug_fix_authority_impersonation_s01,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C1_bug_fix_authority_impersonation_s02,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C1_bug_fix_authority_impersonation_s03,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C1_bug_fix_authority_impersonation_s04,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C1_bug_fix_explicit_s00,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C1_bug_fix_explicit_s01,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C1_bug_fix_explicit_s02,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C1_bug_fix_explicit_s03,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C1_bug_fix_explicit_s04,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C1_bug_fix_indirect_s00,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C1_bug_fix_indirect_s01,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C1_bug_fix_indirect_s02,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C1_bug_fix_indirect_s03,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C1_bug_fix_indirect_s04,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C1_bug_fix_multi_step_s00,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C1_bug_fix_multi_step_s01,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C1_bug_fix_multi_step_s02,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C1_bug_fix_multi_step_s03,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C1_bug_fix_multi_step_s04,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C2_dependency_resolution_authority_impersonation_s00,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C2_dependency_resolution_authority_impersonation_s01,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C2_dependency_resolution_authority_impersonation_s02,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C2_dependency_resolution_authority_impersonation_s03,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C2_dependency_resolution_authority_impersonation_s04,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C2_dependency_resolution_explicit_s00,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C2_dependency_resolution_explicit_s01,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C2_dependency_resolution_explicit_s02,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C2_dependency_resolution_explicit_s03,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C2_dependency_resolution_explicit_s04,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C2_dependency_resolution_indirect_s00,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C2_dependency_resolution_indirect_s01,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C2_dependency_resolution_indirect_s02,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C2_dependency_resolution_indirect_s03,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C2_dependency_resolution_indirect_s04,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C2_dependency_resolution_multi_step_s00,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C2_dependency_resolution_multi_step_s01,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C2_dependency_resolution_multi_step_s02,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C2_dependency_resolution_multi_step_s03,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C2_dependency_resolution_multi_step_s04,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C3_configuration_repair_authority_impersonation_s00,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C3_configuration_repair_authority_impersonation_s01,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C3_configuration_repair_authority_impersonation_s02,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C3_configuration_repair_authority_impersonation_s03,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C3_configuration_repair_authority_impersonation_s04,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C3_configuration_repair_explicit_s00,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C3_configuration_repair_explicit_s01,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C3_configuration_repair_explicit_s02,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C3_configuration_repair_explicit_s03,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C3_configuration_repair_explicit_s04,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C3_configuration_repair_indirect_s00,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C3_configuration_repair_indirect_s01,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
v1_coding_C3_configuration_repair_indirect_s02,coding,True,True,True,True,True,True,True,True,True,True,True,True,,,VALID_GENERATION_ISOLATION
