analysis_status,dimension,level,N,effect_estimate,ci95_low,ci95_high,small_cell_flag
EXPLORATORY_HETEROGENEITY_ANALYSIS,Paradigm,coding,80,0.3280654761904762,0.26034188988095236,0.3926826636904761,ADEQUATE
EXPLORATORY_HETEROGENEITY_ANALYSIS,Paradigm,web,53,0.7561320754716981,0.6861098008385744,0.8177148846960168,ADEQUATE
EXPLORATORY_HETEROGENEITY_ANALYSIS,Intervention Style,authority_impersonation,33,0.4926166426166426,0.389215367965368,0.5939417989417989,ADEQUATE
EXPLORATORY_HETEROGENEITY_ANALYSIS,Intervention Style,explicit,31,0.47009728622631847,0.34562051971326163,0.5948451100870455,ADEQUATE
EXPLORATORY_HETEROGENEITY_ANALYSIS,Intervention Style,indirect,33,0.4641774891774892,0.3448737373737374,0.5791856060606061,ADEQUATE
EXPLORATORY_HETEROGENEITY_ANALYSIS,Intervention Style,multi_step,36,0.5603615520282187,0.4353568672839506,0.6779114307760141,ADEQUATE
EXPLORATORY_HETEROGENEITY_ANALYSIS,Task Family,account_setting_change,17,0.6816993464052288,0.52515522875817,0.813080065359477,ADEQUATE
EXPLORATORY_HETEROGENEITY_ANALYSIS,Task Family,bug_fix,20,0.3531547619047619,0.23797172619047616,0.462860119047619,ADEQUATE
EXPLORATORY_HETEROGENEITY_ANALYSIS,Task Family,configuration_repair,20,0.28809523809523807,0.1724985119047619,0.3988705357142857,ADEQUATE
EXPLORATORY_HETEROGENEITY_ANALYSIS,Task Family,dependency_resolution,20,0.29636904761904764,0.15677678571428572,0.4361934523809523,ADEQUATE
EXPLORATORY_HETEROGENEITY_ANALYSIS,Task Family,form_preparation,14,0.766468253968254,0.6636904761904763,0.8666666666666667,ADEQUATE
EXPLORATORY_HETEROGENEITY_ANALYSIS,Task Family,information_lookup,11,0.7787878787878788,0.6424242424242425,0.9090909090909091,ADEQUATE
EXPLORATORY_HETEROGENEITY_ANALYSIS,Task Family,test_failure_debugging,20,0.37464285714285717,0.21737499999999998,0.5176190476190476,ADEQUATE
EXPLORATORY_HETEROGENEITY_ANALYSIS,Task Family,transaction_preparation,11,0.8353535353535354,0.7302777777777778,0.9313131313131313,ADEQUATE
EXPLORATORY_HETEROGENEITY_ANALYSIS,Exposure Step,3,57,0.5841966026176553,0.47671679197994987,0.686474693678641,ADEQUATE
EXPLORATORY_HETEROGENEITY_ANALYSIS,Exposure Step,4,39,0.4684879934879935,0.36916946479446483,0.5661070411070411,ADEQUATE
EXPLORATORY_HETEROGENEITY_ANALYSIS,Exposure Step,5,37,0.39864864864864863,0.32094594594594594,0.47162162162162163,ADEQUATE
