config_id,stage,latent_dimension,lambda_sep,beta_temp,margin,gamma_var,pre_benign_distance,post_separation,separation_alignment_ratio,pre_matched_distance,post_minus_pre,latent_variance,dev_auroc,dev_benign_false_alarm,dev_pair_detection,selection_score
1,1,64,0.25,0.1,0.1,0.1,0.8896936242592288,0.3997699516017665,0.4493344008558232,0.103841761800452,0.29592818980131447,0.08092433928605702,0.5986328125,0.0625,0.15625,7.75
2,1,64,0.5,0.1,0.1,0.1,0.8924047092385928,0.3987851805007596,0.4468658405456046,0.1055957745849916,0.29318940591576803,0.07915977439721411,0.607421875,0.03125,0.1875,7.75
3,1,64,1.0,0.1,0.1,0.1,0.8887238629174276,0.4053241562165554,0.45607434786998013,0.10776624017370152,0.29755791604285386,0.07740013148941043,0.6025390625,0.0,0.15625,12.25
4,1,64,2.0,0.1,0.1,0.1,0.8834217498082297,0.41305863408049415,0.46756674733235803,0.10662512089915528,0.3064335131813389,0.07711339227881991,0.5947265625,0.0,0.125,13.0
5,1,128,0.25,0.1,0.1,0.1,0.955730552121256,0.5917325004664129,0.6191415552773271,0.1287360136032614,0.46299648686315154,0.06519648248682547,0.916015625,0.03125,0.34375,14.25
6,1,128,0.5,0.1,0.1,0.1,0.956182213715568,0.6046134356713364,0.6323203119642932,0.1264720519634267,0.4781413837079097,0.06503711841715323,0.9189453125,0.03125,0.40625,14.25
7,1,128,1.0,0.1,0.1,0.1,0.956460158438311,0.6361302113003754,0.6650880391495199,0.11924926059719182,0.5168809507031835,0.06475060860105195,0.931640625,0.0,0.46875,18.0
8,1,128,2.0,0.1,0.1,0.1,0.9560153653236579,0.6344514895237124,0.6636415193064596,0.11196595390926989,0.5224855356144426,0.06468673600399655,0.9208984375,0.0,0.46875,17.5
9,1,256,0.25,0.1,0.1,0.1,0.9098846622555549,0.5521750178696758,0.6068626505922892,0.14271158921924237,0.40946342865043345,0.04015379745850472,0.91015625,0.0,0.34375,12.0
10,1,256,0.5,0.1,0.1,0.1,0.9098704765456068,0.5600625157038909,0.6155409260340122,0.14269230300281896,0.4173702127010719,0.04014768609548388,0.9130859375,0.0,0.375,15.5
11,1,256,1.0,0.1,0.1,0.1,0.9100723957724473,0.5598040368693468,0.6151203348984108,0.1430789006779398,0.41672513619140694,0.040148778014111534,0.9140625,0.0,0.375,13.5
12,1,256,2.0,0.1,0.1,0.1,0.9105926188655671,0.5532928562686412,0.6076184287084861,0.14442351481418927,0.408869341454452,0.04018289665608093,0.908203125,0.03125,0.375,10.25
13,2,128,1.0,0.0,0.05,0.1,0.9571900308958639,0.6183150092211203,0.6459689186716875,0.1252864915308904,0.4930285176902299,0.06492947978608934,0.921875,0.03125,0.46875,8.75
14,2,128,1.0,0.0,0.1,0.1,0.9574094427476959,0.6400839860995092,0.6685582547238248,0.12140581663375481,0.5186781694657544,0.06491366503598917,0.9248046875,0.03125,0.5,12.25
15,2,128,1.0,0.0,0.2,0.1,0.9570224683461376,0.6590098782696678,0.6886043954731018,0.11719732650808293,0.5418125517615849,0.06496673959823929,0.951171875,0.0,0.5,18.5
16,2,128,1.0,0.1,0.05,0.1,0.9562950136748056,0.6070679324016802,0.6348123996473306,0.12599246427693658,0.48107546812474367,0.06494683145131622,0.919921875,0.03125,0.40625,8.25
17,2,128,1.0,0.1,0.1,0.1,0.9565531431314169,0.6392894260626059,0.6683260942197087,0.11959207152261198,0.5196973545399939,0.06475648288915418,0.93359375,0.0,0.46875,15.25
18,2,128,1.0,0.1,0.2,0.1,0.9562034979442183,0.6595206908103378,0.6897283812789524,0.11101724037155845,0.5485034504387793,0.06465952319754875,0.94921875,0.0,0.53125,20.25
19,2,128,1.0,0.25,0.05,0.1,0.9552041266602318,0.6011451493236879,0.629336842822829,0.1209449811276697,0.4802001681960182,0.06513800332048691,0.8837890625,0.0,0.1875,9.5
20,2,128,1.0,0.25,0.1,0.1,0.9554478797199101,0.6290233666466124,0.6583544534433535,0.11099904981794526,0.5180243168286671,0.06484583514544812,0.9189453125,0.0,0.34375,13.75
21,2,128,1.0,0.25,0.2,0.1,0.9552412415229523,0.6477772208144956,0.678129453227686,0.10377036757174472,0.5440068532427509,0.06466342248677646,0.921875,0.0,0.4375,17.5
22,2,128,1.0,0.5,0.05,0.1,0.952272974572061,0.5924734230906448,0.6221676335579035,0.1149022642720884,0.4775711588185564,0.06523631157252198,0.8037109375,0.0,0.28125,8.75
23,2,128,1.0,0.5,0.1,0.1,0.9533506424799902,0.6020872776625968,0.6315486147849677,0.11145180400317702,0.49063547365941984,0.06480445210374425,0.8486328125,0.0,0.21875,10.25
24,2,128,1.0,0.5,0.2,0.1,0.9544690734196202,0.6251205380023396,0.6549405899163306,0.10785263667510521,0.5172679013272343,0.06458294628124688,0.900390625,0.0,0.28125,13.0
