endpoint,cell_dimension,cell,usable_N,flag
recovery,paradigm,coding,80,POTENTIALLY_ANALYZABLE
recovery,paradigm,web,53,POTENTIALLY_ANALYZABLE
recovery,task_family,account_setting_change,17,POTENTIALLY_ANALYZABLE
recovery,task_family,bug_fix,20,POTENTIALLY_ANALYZABLE
recovery,task_family,configuration_repair,20,POTENTIALLY_ANALYZABLE
recovery,task_family,dependency_resolution,20,POTENTIALLY_ANALYZABLE
recovery,task_family,form_preparation,14,POTENTIALLY_ANALYZABLE
recovery,task_family,information_lookup,11,POTENTIALLY_ANALYZABLE
recovery,task_family,test_failure_debugging,20,POTENTIALLY_ANALYZABLE
recovery,task_family,transaction_preparation,11,POTENTIALLY_ANALYZABLE
recovery,intervention_style,authority_impersonation,33,POTENTIALLY_ANALYZABLE
recovery,intervention_style,explicit,31,POTENTIALLY_ANALYZABLE
recovery,intervention_style,indirect,33,POTENTIALLY_ANALYZABLE
recovery,intervention_style,multi_step,36,POTENTIALLY_ANALYZABLE
adoption,paradigm,coding,2,UNDERPOWERED
adoption,paradigm,web,0,UNDERPOWERED
adoption,task_family,account_setting_change,0,UNDERPOWERED
adoption,task_family,bug_fix,0,UNDERPOWERED
adoption,task_family,configuration_repair,1,UNDERPOWERED
adoption,task_family,dependency_resolution,1,UNDERPOWERED
adoption,task_family,form_preparation,0,UNDERPOWERED
adoption,task_family,information_lookup,0,UNDERPOWERED
adoption,task_family,test_failure_debugging,0,UNDERPOWERED
adoption,task_family,transaction_preparation,0,UNDERPOWERED
adoption,intervention_style,authority_impersonation,1,UNDERPOWERED
adoption,intervention_style,explicit,0,UNDERPOWERED
adoption,intervention_style,indirect,0,UNDERPOWERED
adoption,intervention_style,multi_step,1,UNDERPOWERED
scope_expansion,paradigm,coding,0,UNDERPOWERED
scope_expansion,paradigm,web,0,UNDERPOWERED
scope_expansion,task_family,account_setting_change,0,UNDERPOWERED
scope_expansion,task_family,bug_fix,0,UNDERPOWERED
scope_expansion,task_family,configuration_repair,0,UNDERPOWERED
scope_expansion,task_family,dependency_resolution,0,UNDERPOWERED
scope_expansion,task_family,form_preparation,0,UNDERPOWERED
scope_expansion,task_family,information_lookup,0,UNDERPOWERED
scope_expansion,task_family,test_failure_debugging,0,UNDERPOWERED
scope_expansion,task_family,transaction_preparation,0,UNDERPOWERED
scope_expansion,intervention_style,authority_impersonation,0,UNDERPOWERED
scope_expansion,intervention_style,explicit,0,UNDERPOWERED
scope_expansion,intervention_style,indirect,0,UNDERPOWERED
scope_expansion,intervention_style,multi_step,0,UNDERPOWERED
