comparison,metric,difference,ci95_low,ci95_high,bootstrap_unit
CORAL - RAW,pre_benign_distance,-0.004448812632212651,-0.008651719519779041,-0.0007397535774058638,pair
CORAL - RAW,post_separation,-0.021148578318964856,-0.03617628823234597,-0.007590326106946557,pair
CORAL - RAW,monitor_auroc,-0.0074990234375,-0.0400390625,0.0205078125,pair
MMD - RAW,pre_benign_distance,-0.0022444068794395793,-0.005494217510294085,0.001094152950805862,pair
MMD - RAW,post_separation,0.014691036617813069,-0.0016542155760024698,0.030360359660629603,pair
MMD - RAW,monitor_auroc,-0.01130244140625,-0.04296875,0.017578125,pair
PIDR-v1 - RAW,pre_benign_distance,0.04321788388171444,0.013586087702233008,0.07764928658094292,pair
PIDR-v1 - RAW,post_separation,0.3900558863149063,0.28534957941254635,0.5031618549709024,pair
PIDR-v1 - RAW,monitor_auroc,0.0442658203125,-0.0615234375,0.154296875,pair
PIDR-v1 - CORAL,pre_benign_distance,0.04769872798309221,0.01574746377957765,0.08408693226430315,pair
PIDR-v1 - CORAL,post_separation,0.41134356635348446,0.3021617393811291,0.5340456507738585,pair
PIDR-v1 - CORAL,monitor_auroc,0.050770703125,-0.056640625,0.1611328125,pair
PIDR-v1 - MMD,pre_benign_distance,0.04562533149174522,0.015358371207975317,0.08099617701989589,pair
PIDR-v1 - MMD,post_separation,0.37561368955519253,0.26593130160210027,0.4952464935422592,pair
PIDR-v1 - MMD,monitor_auroc,0.05478125,-0.052734375,0.1669921875,pair
