method,embedding,hidden,history,architecture,auroc,benign_false_alarm,pair_detection
DeepLog,16,32,3,GRU,0.52490234375,0.1875,0.25
DeepLog,16,32,3,LSTM,0.52490234375,0.1875,0.25
DeepLog,16,32,5,GRU,0.51611328125,0.1875,0.25
DeepLog,16,32,5,LSTM,0.51611328125,0.1875,0.25
DeepLog,16,32,8,GRU,0.51611328125,0.21875,0.25
DeepLog,16,32,8,LSTM,0.51611328125,0.21875,0.25
DeepLog,16,64,3,GRU,0.52490234375,0.1875,0.25
DeepLog,16,64,3,LSTM,0.52490234375,0.1875,0.25
DeepLog,16,64,5,GRU,0.51611328125,0.1875,0.25
DeepLog,16,64,5,LSTM,0.51611328125,0.1875,0.25
DeepLog,16,64,8,GRU,0.51611328125,0.21875,0.25
DeepLog,16,64,8,LSTM,0.51611328125,0.21875,0.25
DeepLog,32,32,3,GRU,0.52490234375,0.1875,0.25
DeepLog,32,32,3,LSTM,0.52490234375,0.1875,0.25
DeepLog,32,32,5,GRU,0.51611328125,0.1875,0.25
DeepLog,32,32,5,LSTM,0.51611328125,0.1875,0.25
DeepLog,32,32,8,GRU,0.51611328125,0.21875,0.25
DeepLog,32,32,8,LSTM,0.51611328125,0.21875,0.25
DeepLog,32,64,3,GRU,0.52490234375,0.1875,0.25
DeepLog,32,64,3,LSTM,0.52490234375,0.1875,0.25
DeepLog,32,64,5,GRU,0.51611328125,0.1875,0.25
DeepLog,32,64,5,LSTM,0.51611328125,0.1875,0.25
DeepLog,32,64,8,GRU,0.51611328125,0.21875,0.25
DeepLog,32,64,8,LSTM,0.51611328125,0.21875,0.25
