sample_id,label,reason,observable_text_present,tool_present
R82P0_001,CONTINUE,observable response without explicit resistance,True,True
R82P0_002,CONTINUE,observable response without explicit resistance,True,True
R82P0_003,CONTINUE,observable response without explicit resistance,True,True
R82P0_004,CONTINUE,observable response without explicit resistance,True,True
R82P0_005,CONTINUE,observable response without explicit resistance,True,True
R82P0_006,CONTINUE,observable response without explicit resistance,True,True
R82P0_007,CONTINUE,observable response without explicit resistance,True,True
R82P0_008,CONTINUE,observable response without explicit resistance,True,True
R82P0_009,CONTINUE,observable response without explicit resistance,True,True
R82P0_010,CONTINUE,observable response without explicit resistance,True,True
R82P0_011,CONTINUE,observable response without explicit resistance,True,True
R82P0_012,CONTINUE,observable response without explicit resistance,True,True
R82P0_013,CONTINUE,observable response without explicit resistance,True,True
R82P0_014,CONTINUE,observable response without explicit resistance,True,True
R82P0_015,CONTINUE,observable response without explicit resistance,True,True
R82P0_016,CONTINUE,observable response without explicit resistance,True,True
R82P0_017,CONTINUE,observable response without explicit resistance,True,True
R82P0_018,CONTINUE,observable response without explicit resistance,True,True
R82P0_019,CONTINUE,observable response without explicit resistance,True,True
R82P0_020,CONTINUE,observable response without explicit resistance,True,True
R82P0_021,CONTINUE,observable response without explicit resistance,True,True
R82P0_022,CONTINUE,observable response without explicit resistance,True,True
R82P0_023,CONTINUE,observable response without explicit resistance,True,True
R82P0_024,CONTINUE,observable response without explicit resistance,True,True
R82P0_025,CONTINUE,observable response without explicit resistance,True,True
R82P0_026,CONTINUE,observable response without explicit resistance,True,True
R82P0_027,CONTINUE,observable response without explicit resistance,True,True
R82P0_028,CONTINUE,observable response without explicit resistance,True,True
R82P0_029,CONTINUE,observable response without explicit resistance,True,True
R82P0_030,CONTINUE,observable response without explicit resistance,True,False
R82P0_031,CONTINUE,observable response without explicit resistance,True,True
R82P0_032,CONTINUE,observable response without explicit resistance,True,True
R82P0_033,CONTINUE,observable response without explicit resistance,True,True
R82P0_034,CONTINUE,observable response without explicit resistance,True,True
R82P0_035,CONTINUE,observable response without explicit resistance,True,True
R82P0_036,CONTINUE,observable response without explicit resistance,True,True
R82P0_037,CONTINUE,observable response without explicit resistance,True,True
R82P0_038,CONTINUE,observable response without explicit resistance,True,True
R82P0_039,CONTINUE,observable response without explicit resistance,True,True
R82P0_040,CONTINUE,observable response without explicit resistance,True,True
