sample_id,phase0_rule_label,obvious_refusal_missed_by_rule,obvious_confirmation_request_missed,obvious_hesitation_missed,evidence_span,audit_scope
R82P0_001,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_002,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_003,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_004,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_005,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_006,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_007,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_008,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_009,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_010,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_011,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_012,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_013,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_014,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_015,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_016,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_017,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_018,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_019,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_020,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_021,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_022,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_023,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_024,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_025,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_026,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_027,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_028,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_029,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_030,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_031,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_032,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_033,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_034,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_035,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_036,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_037,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_038,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_039,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
R82P0_040,CONTINUE,False,False,False,,conservative surface sanity review; no historical label changed
