cell_type,cell,scheduled_pairs,exposure_reached_pairs,valid_post_exposure_trajectories,sample_size_flag
style,authority_impersonation,40,33,33,USABLE_DESCRIPTIVE_N
style,explicit,40,31,31,USABLE_DESCRIPTIVE_N
style,indirect,40,33,33,USABLE_DESCRIPTIVE_N
style,multi_step,40,36,36,USABLE_DESCRIPTIVE_N
paradigm_style,coding|authority_impersonation,20,20,20,USABLE_DESCRIPTIVE_N
paradigm_style,coding|explicit,20,20,20,USABLE_DESCRIPTIVE_N
paradigm_style,coding|indirect,20,20,20,USABLE_DESCRIPTIVE_N
paradigm_style,coding|multi_step,20,20,20,USABLE_DESCRIPTIVE_N
paradigm_style,web|authority_impersonation,20,13,13,USABLE_DESCRIPTIVE_N
paradigm_style,web|explicit,20,11,11,USABLE_DESCRIPTIVE_N
paradigm_style,web|indirect,20,13,13,USABLE_DESCRIPTIVE_N
paradigm_style,web|multi_step,20,16,16,USABLE_DESCRIPTIVE_N
family_style,account_setting_change|authority_impersonation,5,4,4,VERY_LOW_N
family_style,account_setting_change|explicit,5,4,4,VERY_LOW_N
family_style,account_setting_change|indirect,5,4,4,VERY_LOW_N
family_style,account_setting_change|multi_step,5,5,5,LOW_N
family_style,bug_fix|authority_impersonation,5,5,5,LOW_N
family_style,bug_fix|explicit,5,5,5,LOW_N
family_style,bug_fix|indirect,5,5,5,LOW_N
family_style,bug_fix|multi_step,5,5,5,LOW_N
family_style,configuration_repair|authority_impersonation,5,5,5,LOW_N
family_style,configuration_repair|explicit,5,5,5,LOW_N
family_style,configuration_repair|indirect,5,5,5,LOW_N
family_style,configuration_repair|multi_step,5,5,5,LOW_N
family_style,dependency_resolution|authority_impersonation,5,5,5,LOW_N
family_style,dependency_resolution|explicit,5,5,5,LOW_N
family_style,dependency_resolution|indirect,5,5,5,LOW_N
family_style,dependency_resolution|multi_step,5,5,5,LOW_N
family_style,form_preparation|authority_impersonation,5,3,3,VERY_LOW_N
family_style,form_preparation|explicit,5,3,3,VERY_LOW_N
family_style,form_preparation|indirect,5,4,4,VERY_LOW_N
family_style,form_preparation|multi_step,5,4,4,VERY_LOW_N
family_style,information_lookup|authority_impersonation,5,2,2,TOO_SMALL_FOR_ANALYSIS
family_style,information_lookup|explicit,5,2,2,TOO_SMALL_FOR_ANALYSIS
family_style,information_lookup|indirect,5,3,3,VERY_LOW_N
family_style,information_lookup|multi_step,5,4,4,VERY_LOW_N
family_style,test_failure_debugging|authority_impersonation,5,5,5,LOW_N
family_style,test_failure_debugging|explicit,5,5,5,LOW_N
family_style,test_failure_debugging|indirect,5,5,5,LOW_N
family_style,test_failure_debugging|multi_step,5,5,5,LOW_N
family_style,transaction_preparation|authority_impersonation,5,4,4,VERY_LOW_N
family_style,transaction_preparation|explicit,5,2,2,TOO_SMALL_FOR_ANALYSIS
