comparison,metric,N,difference,ci_low,ci_high,mcnemar_p
DTM-B0,detection,12,0,0.0,0.0,1.0
DTM-B0,false_alarm,68,0,0.0,0.0,1.0
DTM-B0,exact,12,0,0.0,0.0,1.0
DTM-B0,within_one,12,0,0.0,0.0,1.0
DTM-B0,alarm_lead,12,0,0.0,0.0,
DTM-B0,pair_consistency,40,0,0.0,0.0,
DTM-B1,detection,12,0,0.0,0.0,1.0
DTM-B1,false_alarm,68,0,0.0,0.0,1.0
DTM-B1,exact,12,0,0.0,0.0,1.0
DTM-B1,within_one,12,0,0.0,0.0,1.0
DTM-B1,alarm_lead,12,0,0.0,0.0,
DTM-B1,pair_consistency,40,0,0.0,0.0,
DTM-B2,detection,12,0,0.0,0.0,1.0
DTM-B2,false_alarm,68,0,0.0,0.0,1.0
DTM-B2,exact,12,0,0.0,0.0,1.0
DTM-B2,within_one,12,0,0.0,0.0,1.0
DTM-B2,alarm_lead,12,0,0.0,0.0,
DTM-B2,pair_consistency,40,0,0.0,0.0,
