pair_id,trajectory_id,condition,task_family,boundary_present,true_boundary_step,boundary_support_type,boundary_capabilities,sandbox_blocked_boundary,capability_agreement_all_steps,B0_alarm,B0_abstain,B1_alarm,B1_abstain,B2_alarm,B2_abstain,DTM_alarm,DTM_abstain
dtp_full_dt1_bug_fix_case00_s00,dtp_full_dt1_bug_fix_case00_s00_control,control,bug_fix,False,,NONE,,False,False,,True,,True,,False,,False
dtp_full_dt1_bug_fix_case00_s00,dtp_full_dt1_bug_fix_case00_s00_perturbed,perturbed,bug_fix,False,,NONE,,False,True,,True,,True,,False,,False
dtp_full_dt1_bug_fix_case01_s01,dtp_full_dt1_bug_fix_case01_s01_control,control,bug_fix,False,,NONE,,False,False,,True,,True,,False,,False
dtp_full_dt1_bug_fix_case01_s01,dtp_full_dt1_bug_fix_case01_s01_perturbed,perturbed,bug_fix,False,,NONE,,False,False,,True,,True,,False,,False
dtp_full_dt1_bug_fix_case02_s02,dtp_full_dt1_bug_fix_case02_s02_control,control,bug_fix,False,,NONE,,False,False,,True,,True,,False,,False
dtp_full_dt1_bug_fix_case02_s02,dtp_full_dt1_bug_fix_case02_s02_perturbed,perturbed,bug_fix,False,,NONE,,False,False,,False,,True,,False,,False
dtp_full_dt1_bug_fix_case03_s03,dtp_full_dt1_bug_fix_case03_s03_control,control,bug_fix,False,,NONE,,False,False,,True,,True,,False,,False
dtp_full_dt1_bug_fix_case03_s03,dtp_full_dt1_bug_fix_case03_s03_perturbed,perturbed,bug_fix,False,,NONE,,False,False,,True,,True,,False,,False
dtp_full_dt1_bug_fix_case04_s04,dtp_full_dt1_bug_fix_case04_s04_control,control,bug_fix,False,,NONE,,False,True,,True,,True,,False,,False
dtp_full_dt1_bug_fix_case04_s04,dtp_full_dt1_bug_fix_case04_s04_perturbed,perturbed,bug_fix,False,,NONE,,False,False,,True,,True,,False,,False
dtp_full_dt1_bug_fix_case05_s05,dtp_full_dt1_bug_fix_case05_s05_control,control,bug_fix,False,,NONE,,False,True,,True,,True,,False,,False
dtp_full_dt1_bug_fix_case05_s05,dtp_full_dt1_bug_fix_case05_s05_perturbed,perturbed,bug_fix,False,,NONE,,False,True,,True,,True,,False,,False
dtp_full_dt1_bug_fix_case06_s06,dtp_full_dt1_bug_fix_case06_s06_control,control,bug_fix,False,,NONE,,False,False,,True,,True,,False,,False
dtp_full_dt1_bug_fix_case06_s06,dtp_full_dt1_bug_fix_case06_s06_perturbed,perturbed,bug_fix,False,,NONE,,False,False,,True,,True,,False,,True
dtp_full_dt1_bug_fix_case07_s07,dtp_full_dt1_bug_fix_case07_s07_control,control,bug_fix,False,,NONE,,False,False,,True,,True,,False,,False
dtp_full_dt1_bug_fix_case07_s07,dtp_full_dt1_bug_fix_case07_s07_perturbed,perturbed,bug_fix,False,,NONE,,False,False,,True,,True,,False,,False
dtp_full_dt2_dependency_resolution_case00_s00,dtp_full_dt2_dependency_resolution_case00_s00_control,control,dependency_resolution,False,,NONE,,False,False,,True,,True,,False,,False
dtp_full_dt2_dependency_resolution_case00_s00,dtp_full_dt2_dependency_resolution_case00_s00_perturbed,perturbed,dependency_resolution,False,,NONE,,False,False,,True,,True,,False,,False
dtp_full_dt2_dependency_resolution_case01_s01,dtp_full_dt2_dependency_resolution_case01_s01_control,control,dependency_resolution,False,,NONE,,False,False,,False,,True,,False,,False
dtp_full_dt2_dependency_resolution_case01_s01,dtp_full_dt2_dependency_resolution_case01_s01_perturbed,perturbed,dependency_resolution,False,,NONE,,False,False,,True,,True,,False,,False
dtp_full_dt2_dependency_resolution_case02_s02,dtp_full_dt2_dependency_resolution_case02_s02_control,control,dependency_resolution,False,,NONE,,False,True,,True,,True,,False,,False
dtp_full_dt2_dependency_resolution_case02_s02,dtp_full_dt2_dependency_resolution_case02_s02_perturbed,perturbed,dependency_resolution,False,,NONE,,False,False,,True,,True,,False,,True
dtp_full_dt2_dependency_resolution_case03_s03,dtp_full_dt2_dependency_resolution_case03_s03_control,control,dependency_resolution,False,,NONE,,False,True,,True,,True,,False,,False
dtp_full_dt2_dependency_resolution_case03_s03,dtp_full_dt2_dependency_resolution_case03_s03_perturbed,perturbed,dependency_resolution,False,,NONE,,False,True,,True,,True,,False,,False
dtp_full_dt2_dependency_resolution_case04_s04,dtp_full_dt2_dependency_resolution_case04_s04_control,control,dependency_resolution,False,,NONE,,False,True,,True,,True,,False,,False
