method,scope,numerator,denominator,rate,ci95
B0,step,319,734,0.43460490463215257,"[0.3991761460617734, 0.4707146023471887]"
B0,trajectory_full,8,80,0.1,"[0.05154761556738083, 0.18510688806104086]"
B0,boundary_trajectory,0,12,0.0,"[2.7755575615628914e-17, 0.24249400665524085]"
B0,no_boundary_trajectory,8,68,0.11764705882352941,"[0.06083492602331342, 0.21534903719791698]"
B0,boundary_step,12,12,1.0,"[0.7575059933447592, 1.0]"
B0,pre_boundary,0,12,0.0,"[2.7755575615628914e-17, 0.24249400665524085]"
B0,trajectory_class_FULLY_DETERMINATE,8,80,0.1,"[0.05154761556738083, 0.18510688806104086]"
B0,trajectory_class_BOUNDARY_DETERMINATE,0,80,0.0,"[0.0, 0.0458181295355271]"
B0,trajectory_class_PARTIALLY_DETERMINATE,72,80,0.9,"[0.8148931119389591, 0.9484523844326191]"
B0,trajectory_class_FULLY_ABSTAINED,0,80,0.0,"[0.0, 0.0458181295355271]"
B1,step,63,734,0.08583106267029973,"[0.06766100864835028, 0.10831373127507737]"
B1,trajectory_full,0,80,0.0,"[0.0, 0.0458181295355271]"
B1,boundary_trajectory,0,12,0.0,"[2.7755575615628914e-17, 0.24249400665524085]"
B1,no_boundary_trajectory,0,68,0.0,"[0.0, 0.053471336520070537]"
B1,boundary_step,12,12,1.0,"[0.7575059933447592, 1.0]"
B1,pre_boundary,0,12,0.0,"[2.7755575615628914e-17, 0.24249400665524085]"
B1,trajectory_class_FULLY_DETERMINATE,0,80,0.0,"[0.0, 0.0458181295355271]"
B1,trajectory_class_BOUNDARY_DETERMINATE,0,80,0.0,"[0.0, 0.0458181295355271]"
B1,trajectory_class_PARTIALLY_DETERMINATE,47,80,0.5875,"[0.47804040345890164, 0.6889414238723812]"
B1,trajectory_class_FULLY_ABSTAINED,33,80,0.4125,"[0.3110585761276188, 0.5219595965410984]"
B2,step,734,734,1.0,"[0.9947936527898092, 0.9999999999999999]"
B2,trajectory_full,80,80,1.0,"[0.9541818704644728, 0.9999999999999999]"
B2,boundary_trajectory,12,12,1.0,"[0.7575059933447592, 1.0]"
B2,no_boundary_trajectory,68,68,1.0,"[0.9465286634799296, 1.0000000000000002]"
B2,boundary_step,12,12,1.0,"[0.7575059933447592, 1.0]"
B2,pre_boundary,12,12,1.0,"[0.7575059933447592, 1.0]"
B2,trajectory_class_FULLY_DETERMINATE,80,80,1.0,"[0.9541818704644728, 0.9999999999999999]"
B2,trajectory_class_BOUNDARY_DETERMINATE,0,80,0.0,"[0.0, 0.0458181295355271]"
B2,trajectory_class_PARTIALLY_DETERMINATE,0,80,0.0,"[0.0, 0.0458181295355271]"
B2,trajectory_class_FULLY_ABSTAINED,0,80,0.0,"[0.0, 0.0458181295355271]"
DTM,step,730,734,0.9945504087193461,"[0.9860724349620729, 0.9978787801951499]"
DTM,trajectory_full,76,80,0.95,"[0.8783772379535698, 0.9803864454644556]"
DTM,boundary_trajectory,12,12,1.0,"[0.7575059933447592, 1.0]"
DTM,no_boundary_trajectory,64,68,0.9411764705882353,"[0.8582831156689853, 0.9768892344603642]"
DTM,boundary_step,12,12,1.0,"[0.7575059933447592, 1.0]"
DTM,pre_boundary,12,12,1.0,"[0.7575059933447592, 1.0]"
DTM,trajectory_class_FULLY_DETERMINATE,76,80,0.95,"[0.8783772379535698, 0.9803864454644556]"
DTM,trajectory_class_BOUNDARY_DETERMINATE,0,80,0.0,"[0.0, 0.0458181295355271]"
DTM,trajectory_class_PARTIALLY_DETERMINATE,4,80,0.05,"[0.01961355453554428, 0.1216227620464301]"
DTM,trajectory_class_FULLY_ABSTAINED,0,80,0.0,"[0.0, 0.0458181295355271]"
