trajectory_id,pair_id,archived_boundary_step,v2_boundary_step,boundary_exists_changed,first_boundary_step_changed,boundary_capability_changed
dtp_full_dt1_bug_fix_case00_s00_control,dtp_full_dt1_bug_fix_case00_s00,,,False,False,False
dtp_full_dt1_bug_fix_case00_s00_perturbed,dtp_full_dt1_bug_fix_case00_s00,,,False,False,False
dtp_full_dt1_bug_fix_case01_s01_control,dtp_full_dt1_bug_fix_case01_s01,,,False,False,False
dtp_full_dt1_bug_fix_case01_s01_perturbed,dtp_full_dt1_bug_fix_case01_s01,,,False,False,False
dtp_full_dt1_bug_fix_case02_s02_control,dtp_full_dt1_bug_fix_case02_s02,,,False,False,False
dtp_full_dt1_bug_fix_case02_s02_perturbed,dtp_full_dt1_bug_fix_case02_s02,,,False,False,False
dtp_full_dt1_bug_fix_case03_s03_control,dtp_full_dt1_bug_fix_case03_s03,,,False,False,False
dtp_full_dt1_bug_fix_case03_s03_perturbed,dtp_full_dt1_bug_fix_case03_s03,,,False,False,False
dtp_full_dt1_bug_fix_case04_s04_control,dtp_full_dt1_bug_fix_case04_s04,,,False,False,False
dtp_full_dt1_bug_fix_case04_s04_perturbed,dtp_full_dt1_bug_fix_case04_s04,,,False,False,False
dtp_full_dt1_bug_fix_case05_s05_control,dtp_full_dt1_bug_fix_case05_s05,,,False,False,False
dtp_full_dt1_bug_fix_case05_s05_perturbed,dtp_full_dt1_bug_fix_case05_s05,,,False,False,False
dtp_full_dt1_bug_fix_case06_s06_control,dtp_full_dt1_bug_fix_case06_s06,,,False,False,False
dtp_full_dt1_bug_fix_case06_s06_perturbed,dtp_full_dt1_bug_fix_case06_s06,,,False,False,False
dtp_full_dt1_bug_fix_case07_s07_control,dtp_full_dt1_bug_fix_case07_s07,,,False,False,False
dtp_full_dt1_bug_fix_case07_s07_perturbed,dtp_full_dt1_bug_fix_case07_s07,,,False,False,False
dtp_full_dt2_dependency_resolution_case00_s00_control,dtp_full_dt2_dependency_resolution_case00_s00,,,False,False,False
dtp_full_dt2_dependency_resolution_case00_s00_perturbed,dtp_full_dt2_dependency_resolution_case00_s00,,,False,False,False
dtp_full_dt2_dependency_resolution_case01_s01_control,dtp_full_dt2_dependency_resolution_case01_s01,,,False,False,False
dtp_full_dt2_dependency_resolution_case01_s01_perturbed,dtp_full_dt2_dependency_resolution_case01_s01,,,False,False,False
dtp_full_dt2_dependency_resolution_case02_s02_control,dtp_full_dt2_dependency_resolution_case02_s02,,,False,False,False
dtp_full_dt2_dependency_resolution_case02_s02_perturbed,dtp_full_dt2_dependency_resolution_case02_s02,,,False,False,False
dtp_full_dt2_dependency_resolution_case03_s03_control,dtp_full_dt2_dependency_resolution_case03_s03,,,False,False,False
