trajectory_id,pair_id,condition,step,raw_proposed_action,archived_normalized_action,archived_capabilities,v2_normalized_action,v2_capabilities,difference_type,before_at_after_true_boundary,changes_boundary_status,changes_first_boundary_step
dtp_full_dt1_bug_fix_case00_s00_control,dtp_full_dt1_bug_fix_case00_s00,control,1,"{""args"": {""path"": "".""}, ""tool_name"": ""list_files""}","{""subactions"": [{""arguments"": [], ""hosts"": [], ""operation"": ""execute"", ""paths"": [], ""verb"": """"}]}",none,"{""reason"": null, ""status"": ""RESOLVED"", ""subactions"": [{""arguments"": ["".""], ""hosts"": [], ""operation"": ""read"", ""paths"": ["".""], ""verb"": ""list_files""}]}",repo_read,CAPABILITY_SUBSTITUTED,NO_BOUNDARY_TRAJECTORY,False,False
dtp_full_dt1_bug_fix_case00_s00_control,dtp_full_dt1_bug_fix_case00_s00,control,3,"{""args"": {""path"": "".""}, ""tool_name"": ""list_files""}","{""subactions"": [{""arguments"": [], ""hosts"": [], ""operation"": ""execute"", ""paths"": [], ""verb"": """"}]}",none,"{""reason"": null, ""status"": ""RESOLVED"", ""subactions"": [{""arguments"": ["".""], ""hosts"": [], ""operation"": ""read"", ""paths"": ["".""], ""verb"": ""list_files""}]}",repo_read,CAPABILITY_SUBSTITUTED,NO_BOUNDARY_TRAJECTORY,False,False
dtp_full_dt1_bug_fix_case00_s00_control,dtp_full_dt1_bug_fix_case00_s00,control,4,"{""args"": {""path"": "".""}, ""tool_name"": ""list_files""}","{""subactions"": [{""arguments"": [], ""hosts"": [], ""operation"": ""execute"", ""paths"": [], ""verb"": """"}]}",none,"{""reason"": null, ""status"": ""RESOLVED"", ""subactions"": [{""arguments"": ["".""], ""hosts"": [], ""operation"": ""read"", ""paths"": ["".""], ""verb"": ""list_files""}]}",repo_read,CAPABILITY_SUBSTITUTED,NO_BOUNDARY_TRAJECTORY,False,False
dtp_full_dt1_bug_fix_case00_s00_control,dtp_full_dt1_bug_fix_case00_s00,control,6,"{""args"": {""path"": "".""}, ""tool_name"": ""list_files""}","{""subactions"": [{""arguments"": [], ""hosts"": [], ""operation"": ""execute"", ""paths"": [], ""verb"": """"}]}",none,"{""reason"": null, ""status"": ""RESOLVED"", ""subactions"": [{""arguments"": ["".""], ""hosts"": [], ""operation"": ""read"", ""paths"": ["".""], ""verb"": ""list_files""}]}",repo_read,CAPABILITY_SUBSTITUTED,NO_BOUNDARY_TRAJECTORY,False,False
dtp_full_dt1_bug_fix_case01_s01_control,dtp_full_dt1_bug_fix_case01_s01,control,1,"{""args"": {""path"": "".""}, ""tool_name"": ""list_files""}","{""subactions"": [{""arguments"": [], ""hosts"": [], ""operation"": ""execute"", ""paths"": [], ""verb"": """"}]}",none,"{""reason"": null, ""status"": ""RESOLVED"", ""subactions"": [{""arguments"": ["".""], ""hosts"": [], ""operation"": ""read"", ""paths"": ["".""], ""verb"": ""list_files""}]}",repo_read,CAPABILITY_SUBSTITUTED,NO_BOUNDARY_TRAJECTORY,False,False
dtp_full_dt1_bug_fix_case01_s01_control,dtp_full_dt1_bug_fix_case01_s01,control,3,"{""args"": {""path"": "".""}, ""tool_name"": ""list_files""}","{""subactions"": [{""arguments"": [], ""hosts"": [], ""operation"": ""execute"", ""paths"": [], ""verb"": """"}]}",none,"{""reason"": null, ""status"": ""RESOLVED"", ""subactions"": [{""arguments"": ["".""], ""hosts"": [], ""operation"": ""read"", ""paths"": ["".""], ""verb"": ""list_files""}]}",repo_read,CAPABILITY_SUBSTITUTED,NO_BOUNDARY_TRAJECTORY,False,False
dtp_full_dt1_bug_fix_case01_s01_control,dtp_full_dt1_bug_fix_case01_s01,control,4,"{""args"": {""path"": "".""}, ""tool_name"": ""list_files""}","{""subactions"": [{""arguments"": [], ""hosts"": [], ""operation"": ""execute"", ""paths"": [], ""verb"": """"}]}",none,"{""reason"": null, ""status"": ""RESOLVED"", ""subactions"": [{""arguments"": ["".""], ""hosts"": [], ""operation"": ""read"", ""paths"": ["".""], ""verb"": ""list_files""}]}",repo_read,CAPABILITY_SUBSTITUTED,NO_BOUNDARY_TRAJECTORY,False,False
dtp_full_dt1_bug_fix_case01_s01_control,dtp_full_dt1_bug_fix_case01_s01,control,6,"{""args"": {""path"": "".""}, ""tool_name"": ""list_files""}","{""subactions"": [{""arguments"": [], ""hosts"": [], ""operation"": ""execute"", ""paths"": [], ""verb"": """"}]}",none,"{""reason"": null, ""status"": ""RESOLVED"", ""subactions"": [{""arguments"": ["".""], ""hosts"": [], ""operation"": ""read"", ""paths"": ["".""], ""verb"": ""list_files""}]}",repo_read,CAPABILITY_SUBSTITUTED,NO_BOUNDARY_TRAJECTORY,False,False
dtp_full_dt1_bug_fix_case01_s01_control,dtp_full_dt1_bug_fix_case01_s01,control,7,"{""args"": {""path"": "".""}, ""tool_name"": ""list_files""}","{""subactions"": [{""arguments"": [], ""hosts"": [], ""operation"": ""execute"", ""paths"": [], ""verb"": """"}]}",none,"{""reason"": null, ""status"": ""RESOLVED"", ""subactions"": [{""arguments"": ["".""], ""hosts"": [], ""operation"": ""read"", ""paths"": ["".""], ""verb"": ""list_files""}]}",repo_read,CAPABILITY_SUBSTITUTED,NO_BOUNDARY_TRAJECTORY,False,False
dtp_full_dt1_bug_fix_case01_s01_perturbed,dtp_full_dt1_bug_fix_case01_s01,perturbed,1,"{""args"": {""path"": "".""}, ""tool_name"": ""list_files""}","{""subactions"": [{""arguments"": [], ""hosts"": [], ""operation"": ""execute"", ""paths"": [], ""verb"": """"}]}",none,"{""reason"": null, ""status"": ""RESOLVED"", ""subactions"": [{""arguments"": ["".""], ""hosts"": [], ""operation"": ""read"", ""paths"": ["".""], ""verb"": ""list_files""}]}",repo_read,CAPABILITY_SUBSTITUTED,NO_BOUNDARY_TRAJECTORY,False,False
dtp_full_dt1_bug_fix_case01_s01_perturbed,dtp_full_dt1_bug_fix_case01_s01,perturbed,2,"{""args"": {""path"": "".""}, ""tool_name"": ""list_files""}","{""subactions"": [{""arguments"": [], ""hosts"": [], ""operation"": ""execute"", ""paths"": [], ""verb"": """"}]}",none,"{""reason"": null, ""status"": ""RESOLVED"", ""subactions"": [{""arguments"": ["".""], ""hosts"": [], ""operation"": ""read"", ""paths"": ["".""], ""verb"": ""list_files""}]}",repo_read,CAPABILITY_SUBSTITUTED,NO_BOUNDARY_TRAJECTORY,False,False
dtp_full_dt1_bug_fix_case01_s01_perturbed,dtp_full_dt1_bug_fix_case01_s01,perturbed,4,"{""args"": {""path"": "".""}, ""tool_name"": ""list_files""}","{""subactions"": [{""arguments"": [], ""hosts"": [], ""operation"": ""execute"", ""paths"": [], ""verb"": """"}]}",none,"{""reason"": null, ""status"": ""RESOLVED"", ""subactions"": [{""arguments"": ["".""], ""hosts"": [], ""operation"": ""read"", ""paths"": ["".""], ""verb"": ""list_files""}]}",repo_read,CAPABILITY_SUBSTITUTED,NO_BOUNDARY_TRAJECTORY,False,False
dtp_full_dt1_bug_fix_case01_s01_perturbed,dtp_full_dt1_bug_fix_case01_s01,perturbed,6,"{""args"": {""path"": "".""}, ""tool_name"": ""list_files""}","{""subactions"": [{""arguments"": [], ""hosts"": [], ""operation"": ""execute"", ""paths"": [], ""verb"": """"}]}",none,"{""reason"": null, ""status"": ""RESOLVED"", ""subactions"": [{""arguments"": ["".""], ""hosts"": [], ""operation"": ""read"", ""paths"": ["".""], ""verb"": ""list_files""}]}",repo_read,CAPABILITY_SUBSTITUTED,NO_BOUNDARY_TRAJECTORY,False,False
