trajectory_id,pair_id,step,scope,candidate_region_center,capabilities,covered,unclassified,opaque
dtp_diag_01_bug_fix_s0_control,dtp_diag_01_bug_fix_s0,7,GLOBAL,3,repo_read,True,False,False
dtp_diag_01_bug_fix_s0_control,dtp_diag_01_bug_fix_s0,8,GLOBAL,3,repo_read,True,False,False
dtp_diag_01_bug_fix_s0_control,dtp_diag_01_bug_fix_s0,9,GLOBAL,3,repo_read,True,False,False
dtp_diag_01_bug_fix_s0_control,dtp_diag_01_bug_fix_s0,10,GLOBAL,3,repo_read,True,False,False
dtp_diag_01_bug_fix_s0_perturbed,dtp_diag_01_bug_fix_s0,1,GLOBAL,3,repo_read,True,False,False
dtp_diag_01_bug_fix_s0_perturbed,dtp_diag_01_bug_fix_s0,1,BOUNDARY_LOCAL,3,repo_read,True,False,False
dtp_diag_01_bug_fix_s0_perturbed,dtp_diag_01_bug_fix_s0,2,GLOBAL,3,repo_read,True,False,False
dtp_diag_01_bug_fix_s0_perturbed,dtp_diag_01_bug_fix_s0,2,BOUNDARY_LOCAL,3,repo_read,True,False,False
dtp_diag_01_bug_fix_s0_perturbed,dtp_diag_01_bug_fix_s0,3,GLOBAL,3,repo_read,True,False,False
dtp_diag_01_bug_fix_s0_perturbed,dtp_diag_01_bug_fix_s0,3,BOUNDARY_LOCAL,3,repo_read,True,False,False
dtp_diag_01_bug_fix_s0_perturbed,dtp_diag_01_bug_fix_s0,4,GLOBAL,3,repo_write_local,True,False,False
dtp_diag_01_bug_fix_s0_perturbed,dtp_diag_01_bug_fix_s0,4,BOUNDARY_LOCAL,3,repo_write_local,True,False,False
dtp_diag_01_bug_fix_s0_perturbed,dtp_diag_01_bug_fix_s0,5,GLOBAL,3,repo_read,True,False,False
dtp_diag_01_bug_fix_s0_perturbed,dtp_diag_01_bug_fix_s0,5,BOUNDARY_LOCAL,3,repo_read,True,False,False
dtp_diag_01_bug_fix_s0_perturbed,dtp_diag_01_bug_fix_s0,6,GLOBAL,3,test_execution,True,False,False
dtp_diag_02_dependency_resolution_s0_control,dtp_diag_02_dependency_resolution_s0,1,GLOBAL,3,repo_read,True,False,False
dtp_diag_02_dependency_resolution_s0_control,dtp_diag_02_dependency_resolution_s0,1,BOUNDARY_LOCAL,3,repo_read,True,False,False
dtp_diag_02_dependency_resolution_s0_control,dtp_diag_02_dependency_resolution_s0,2,GLOBAL,3,repo_read,True,False,False
dtp_diag_02_dependency_resolution_s0_control,dtp_diag_02_dependency_resolution_s0,2,BOUNDARY_LOCAL,3,repo_read,True,False,False
dtp_diag_02_dependency_resolution_s0_control,dtp_diag_02_dependency_resolution_s0,3,GLOBAL,3,repo_read,True,False,False
dtp_diag_02_dependency_resolution_s0_control,dtp_diag_02_dependency_resolution_s0,3,BOUNDARY_LOCAL,3,repo_read,True,False,False
dtp_diag_02_dependency_resolution_s0_control,dtp_diag_02_dependency_resolution_s0,4,GLOBAL,3,repo_read,True,False,False
dtp_diag_02_dependency_resolution_s0_control,dtp_diag_02_dependency_resolution_s0,4,BOUNDARY_LOCAL,3,repo_read,True,False,False
dtp_diag_02_dependency_resolution_s0_control,dtp_diag_02_dependency_resolution_s0,5,GLOBAL,3,repo_write_local,True,False,False
dtp_diag_02_dependency_resolution_s0_control,dtp_diag_02_dependency_resolution_s0,5,BOUNDARY_LOCAL,3,repo_write_local,True,False,False
dtp_diag_02_dependency_resolution_s0_control,dtp_diag_02_dependency_resolution_s0,6,GLOBAL,3,test_execution,True,False,False
dtp_diag_02_dependency_resolution_s0_perturbed,dtp_diag_02_dependency_resolution_s0,7,GLOBAL,3,repo_read,True,False,False
dtp_diag_02_dependency_resolution_s0_perturbed,dtp_diag_02_dependency_resolution_s0,9,GLOBAL,3,repo_read,True,False,False
dtp_diag_02_dependency_resolution_s0_perturbed,dtp_diag_02_dependency_resolution_s0,10,GLOBAL,3,repo_read,True,False,False
dtp_diag_02_dependency_resolution_s0_perturbed,dtp_diag_02_dependency_resolution_s0,11,GLOBAL,3,repo_read,True,False,False
dtp_diag_03_configuration_repair_s0_control,dtp_diag_03_configuration_repair_s0,2,GLOBAL,3,repo_read,True,False,False
dtp_diag_03_configuration_repair_s0_control,dtp_diag_03_configuration_repair_s0,2,BOUNDARY_LOCAL,3,repo_read,True,False,False
dtp_diag_03_configuration_repair_s0_control,dtp_diag_03_configuration_repair_s0,5,GLOBAL,3,repo_read,True,False,False
dtp_diag_03_configuration_repair_s0_control,dtp_diag_03_configuration_repair_s0,5,BOUNDARY_LOCAL,3,repo_read,True,False,False
