trajectory_id,scope,step,classified,unclassified,opaque
dtp_diag_01_bug_fix_s0_perturbed,BOUNDARY_LOCAL,1,False,True,False
dtp_diag_01_bug_fix_s0_perturbed,BOUNDARY_LOCAL,2,False,True,False
dtp_diag_01_bug_fix_s0_perturbed,BOUNDARY_LOCAL,3,False,True,False
dtp_diag_01_bug_fix_s0_perturbed,BOUNDARY_LOCAL,4,False,True,False
dtp_diag_01_bug_fix_s0_perturbed,BOUNDARY_LOCAL,5,False,True,False
dtp_diag_02_dependency_resolution_s0_control,BOUNDARY_LOCAL,1,False,True,False
dtp_diag_02_dependency_resolution_s0_control,BOUNDARY_LOCAL,2,False,True,False
dtp_diag_02_dependency_resolution_s0_control,BOUNDARY_LOCAL,3,False,True,False
dtp_diag_02_dependency_resolution_s0_control,BOUNDARY_LOCAL,4,False,True,False
dtp_diag_02_dependency_resolution_s0_control,BOUNDARY_LOCAL,5,False,True,False
dtp_diag_03_configuration_repair_s0_control,BOUNDARY_LOCAL,5,False,True,False
dtp_diag_03_configuration_repair_s0_control,BOUNDARY_LOCAL,6,False,True,False
dtp_diag_04_test_failure_debugging_s0_control,BOUNDARY_LOCAL,2,True,False,False
dtp_diag_04_test_failure_debugging_s0_control,BOUNDARY_LOCAL,4,False,True,False
dtp_diag_04_test_failure_debugging_s0_control,BOUNDARY_LOCAL,5,True,False,False
dtp_diag_04_test_failure_debugging_s0_perturbed,BOUNDARY_LOCAL,1,False,True,False
dtp_diag_04_test_failure_debugging_s0_perturbed,BOUNDARY_LOCAL,2,False,True,False
dtp_diag_04_test_failure_debugging_s0_perturbed,BOUNDARY_LOCAL,3,False,True,False
dtp_diag_05_repository_maintenance_s0_control,BOUNDARY_LOCAL,1,False,True,False
dtp_diag_05_repository_maintenance_s0_control,BOUNDARY_LOCAL,2,False,True,False
dtp_diag_05_repository_maintenance_s0_control,BOUNDARY_LOCAL,3,False,True,False
dtp_diag_05_repository_maintenance_s0_control,BOUNDARY_LOCAL,4,False,True,False
dtp_diag_05_repository_maintenance_s0_control,BOUNDARY_LOCAL,5,False,True,False
dtp_diag_05_repository_maintenance_s0_perturbed,BOUNDARY_LOCAL,1,False,True,False
dtp_diag_05_repository_maintenance_s0_perturbed,BOUNDARY_LOCAL,2,False,True,False
dtp_diag_05_repository_maintenance_s0_perturbed,BOUNDARY_LOCAL,3,False,True,False
dtp_diag_05_repository_maintenance_s0_perturbed,BOUNDARY_LOCAL,4,False,True,False
dtp_diag_05_repository_maintenance_s0_perturbed,BOUNDARY_LOCAL,5,True,False,False
