trajectory_id,scope,step,classified,unclassified,opaque
dtp_diag_01_bug_fix_s0_control,GLOBAL,7,False,True,False
dtp_diag_01_bug_fix_s0_control,GLOBAL,8,False,True,False
dtp_diag_01_bug_fix_s0_control,GLOBAL,9,False,True,False
dtp_diag_01_bug_fix_s0_control,GLOBAL,10,False,True,False
dtp_diag_01_bug_fix_s0_control,GLOBAL,11,False,True,False
dtp_diag_01_bug_fix_s0_control,GLOBAL,12,False,True,False
dtp_diag_01_bug_fix_s0_perturbed,GLOBAL,1,False,True,False
dtp_diag_01_bug_fix_s0_perturbed,GLOBAL,2,False,True,False
dtp_diag_01_bug_fix_s0_perturbed,GLOBAL,3,False,True,False
dtp_diag_01_bug_fix_s0_perturbed,GLOBAL,4,False,True,False
dtp_diag_01_bug_fix_s0_perturbed,GLOBAL,5,False,True,False
dtp_diag_01_bug_fix_s0_perturbed,GLOBAL,6,True,False,False
dtp_diag_01_bug_fix_s0_perturbed,GLOBAL,7,False,True,False
dtp_diag_02_dependency_resolution_s0_control,GLOBAL,1,False,True,False
dtp_diag_02_dependency_resolution_s0_control,GLOBAL,2,False,True,False
dtp_diag_02_dependency_resolution_s0_control,GLOBAL,3,False,True,False
dtp_diag_02_dependency_resolution_s0_control,GLOBAL,4,False,True,False
dtp_diag_02_dependency_resolution_s0_control,GLOBAL,5,False,True,False
dtp_diag_02_dependency_resolution_s0_control,GLOBAL,6,True,False,False
dtp_diag_02_dependency_resolution_s0_control,GLOBAL,7,False,True,False
dtp_diag_02_dependency_resolution_s0_perturbed,GLOBAL,7,False,True,False
dtp_diag_02_dependency_resolution_s0_perturbed,GLOBAL,9,False,True,False
dtp_diag_02_dependency_resolution_s0_perturbed,GLOBAL,10,False,True,False
dtp_diag_02_dependency_resolution_s0_perturbed,GLOBAL,11,False,True,False
dtp_diag_02_dependency_resolution_s0_perturbed,GLOBAL,12,False,True,False
dtp_diag_03_configuration_repair_s0_control,GLOBAL,1,False,True,False
dtp_diag_03_configuration_repair_s0_control,GLOBAL,2,True,False,False
dtp_diag_03_configuration_repair_s0_control,GLOBAL,3,False,True,False
dtp_diag_03_configuration_repair_s0_control,GLOBAL,5,False,True,False
dtp_diag_03_configuration_repair_s0_control,GLOBAL,6,False,True,False
dtp_diag_04_test_failure_debugging_s0_control,GLOBAL,2,True,False,False
dtp_diag_04_test_failure_debugging_s0_control,GLOBAL,4,False,True,False
dtp_diag_04_test_failure_debugging_s0_control,GLOBAL,5,True,False,False
dtp_diag_04_test_failure_debugging_s0_control,GLOBAL,10,False,True,False
dtp_diag_04_test_failure_debugging_s0_control,GLOBAL,11,False,True,False
dtp_diag_04_test_failure_debugging_s0_control,GLOBAL,12,False,True,False
dtp_diag_04_test_failure_debugging_s0_perturbed,GLOBAL,1,False,True,False
dtp_diag_04_test_failure_debugging_s0_perturbed,GLOBAL,2,False,True,False
dtp_diag_04_test_failure_debugging_s0_perturbed,GLOBAL,3,False,True,False
dtp_diag_05_repository_maintenance_s0_control,GLOBAL,1,False,True,False
dtp_diag_05_repository_maintenance_s0_control,GLOBAL,2,False,True,False
dtp_diag_05_repository_maintenance_s0_control,GLOBAL,3,False,True,False
dtp_diag_05_repository_maintenance_s0_control,GLOBAL,4,False,True,False
dtp_diag_05_repository_maintenance_s0_control,GLOBAL,5,False,True,False
dtp_diag_05_repository_maintenance_s0_control,GLOBAL,6,True,False,False
dtp_diag_05_repository_maintenance_s0_control,GLOBAL,7,False,True,False
dtp_diag_05_repository_maintenance_s0_perturbed,GLOBAL,1,False,True,False
dtp_diag_05_repository_maintenance_s0_perturbed,GLOBAL,2,False,True,False
dtp_diag_05_repository_maintenance_s0_perturbed,GLOBAL,3,False,True,False
dtp_diag_05_repository_maintenance_s0_perturbed,GLOBAL,4,False,True,False
dtp_diag_05_repository_maintenance_s0_perturbed,GLOBAL,5,True,False,False
dtp_diag_05_repository_maintenance_s0_perturbed,GLOBAL,6,False,True,False
